host	logname	time	method	url	response	bytes	referer	useragent
ix-nyc5-09.ix.netcom.com	-	804641261	GET	/history/apollo/images/footprint-logo.gif	200	4209		
asn1.whidbey.net	-	804641315	GET	/images/KSC-logosmall.gif	200	1204		
lwbyppp5.epix.net	-	804641415	GET	/shuttle/countdown/liftoff.html	304	0		
cooper.hip.berkeley.edu	-	804641454	GET	/shuttle/missions/sts-71/images/KSC-95EC-0915.jpg	200	39654		
slsyd2p64.ozemail.com.au	-	804641519	GET	/history/apollo/apollo-11/apollo-11-patch-small.gif	200	11175		
e5s58.syd.enternet.com.au	-	804641563	GET	/shuttle/countdown/	200	3985		
128.95.43.49	-	804641648	GET	/shuttle/missions/sts-71/sts-71-patch-small.gif	200	12054		
pm1d10.iaehv.nl	-	804641701	GET	/shuttle/missions/sts-71/images/index71.gif	200	235862		
ping1.ping.be	-	804641807	GET	/facilities/tour.html	200	3723		
sunday.isltd.insignia.com	-	804641833	GET	/shuttle/resources/orbiters/challenger.html	200	8089		
belrive.qualcomm.com	-	804641914	GET	/images/ksclogosmall.gif	200	3635		
gabriola.islandnet.com	-	804641969	GET	/icons/blank.xbm	200	509		
gradasst1.tamucc.edu	-	804641976	GET	/images/KSC-logosmall.gif	200	1204		
ppp0-128.metropolis.nl	-	804642037	GET	/shuttle/countdown/	200	3985		
ppp-wpb-142.shadow.net	-	804642187	GET	/shuttle/countdown/	200	3985		
nb-dyna108.interaccess.com	-	804642340	GET	/images/NASA-logosmall.gif	200	786		
slip159.riq.qc.ca	-	804642553	GET	/images/NASA-logosmall.gif	200	786		
goldenrule.jcpenney.com	-	804642573	GET	/shuttle/missions/sts-71/movies/movies.html	200	3092		
pm3_29.digital.net	-	804642823	GET	/images/USA-logosmall.gif	200	234		
204.227.195.36	-	804642937	GET	/images/WORLD-logosmall.gif	200	669		
ad075.du.pipex.com	-	804643302	GET	/history/apollo/apollo-13/	200	1732		
net.galactica.it	-	804643404	GET	/images/ksclogo-medium.gif	200	5866		
ix-dfw9-21.ix.netcom.com	-	804643438	GET	/images/ksclogo-medium.gif	200	5866		
